date,nabatiyeh,south,beqaa,baalbek,beirut,mount lebanon,north,aakar
2020-06-02,815,1151,426,327,815,1596,639,237
2020-06-03,732,1151,391,311,847,1538,675,231
2020-06-04,642,1004,380,293,801,1545,675,180
2020-06-05,543,832,341,289,835,1498,559,206
2020-06-06,506,795,375,289,795,1630,372,185
2020-06-07,439,638,356,289,795,1630,375,168
2020-06-08,363,638,369,226,745,1582,332,198
2020-06-10,361,446,242,203,742,1136,320,193
2020-06-10,373,457,262,206,772,1148,322,247
2020-06-12,373,462,241,197,772,1157,446,228
2020-06-12,427,536,265,216,805,1030,629,275
